measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,2,Female,22,All ages,441,Colon and rectum cancer,3,Rate,2015,11.796895943198276,12.485968574540882,10.651286241503758
1,Deaths,1,Global,2,Female,22,All ages,444,Lip and oral cavity cancer,3,Rate,2015,1.6143680148935404,1.7458156663457596,1.4790730205782199
1,Deaths,1,Global,2,Female,22,All ages,447,Nasopharynx cancer,3,Rate,2015,0.5104280981522833,0.548026805063108,0.4712843489737504
1,Deaths,1,Global,2,Female,22,All ages,450,Other pharynx cancer,3,Rate,2015,0.6371958729388428,0.701909849694705,0.5754144475609323
1,Deaths,1,Global,2,Female,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,2015,2.4402775016717912,2.7448725462660377,2.0073084898706424
1,Deaths,1,Global,2,Female,22,All ages,456,Pancreatic cancer,3,Rate,2015,5.89761415628412,6.230933163853097,5.348095435070653
1,Deaths,1,Global,2,Female,22,All ages,459,Malignant skin melanoma,3,Rate,2015,0.6985176114303089,0.8141156302809446,0.47859211060457485
1,Deaths,1,Global,2,Female,22,All ages,462,Non-melanoma skin cancer,3,Rate,2015,0.5642820916435332,0.6081405219911503,0.49353191645429556
1,Deaths,1,Global,2,Female,22,All ages,465,Ovarian cancer,3,Rate,2015,4.7432576400245825,5.1292806078246445,4.32325346100222
1,Deaths,1,Global,2,Female,22,All ages,471,Kidney cancer,3,Rate,2015,1.4124556418982694,1.4915393976105793,1.295023560020935
1,Deaths,1,Global,2,Female,22,All ages,474,Bladder cancer,3,Rate,2015,1.4520650153057304,1.540998149704316,1.2956260600500231
1,Deaths,1,Global,2,Female,22,All ages,477,Brain and central nervous system cancer,3,Rate,2015,2.6916565443271954,2.963297334178851,1.9379180196078845
1,Deaths,1,Global,2,Female,22,All ages,480,Thyroid cancer,3,Rate,2015,0.6661505843009444,0.7116420101856937,0.5950501086277514
1,Deaths,1,Global,2,Female,22,All ages,483,Mesothelioma,3,Rate,2015,0.20016103442271113,0.2219858316569349,0.1465336736495942
1,Deaths,1,Global,2,Female,22,All ages,484,Hodgkin lymphoma,3,Rate,2015,0.27006668227632197,0.3304999607462959,0.21839466425476226
1,Deaths,1,Global,2,Female,22,All ages,485,Non-Hodgkin lymphoma,3,Rate,2015,2.64789290602376,2.7929436970551196,2.4245846675724683
1,Deaths,1,Global,2,Female,22,All ages,486,Multiple myeloma,3,Rate,2015,1.2900190766209212,1.399826194583412,1.1096632884283506
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,2001,4.235516365261755,4.685123871087243,2.7611394665025717
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,2001,10.503387530147188,11.141804484240218,9.847569263494597
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,3,Rate,2001,4.2335429445855155,4.571775194592392,3.928473138352556
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1992,3.9973338271092667,4.4468096076879675,2.8635021102716025
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1992,11.266400825371402,12.050987089733155,10.507705073834709
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,3,Rate,1992,4.453050458266522,5.035257291133718,3.9630992457377245
1,Deaths,1,Global,2,Female,22,All ages,487,Leukemia,3,Rate,1996,4.390690538302205,4.8990730394604896,3.8357617407666185
1,Deaths,1,Global,2,Female,22,All ages,490,Other neoplasms,3,Rate,1996,0.41552861250724005,0.48436637051722675,0.36648895966101763
1,Deaths,1,Global,2,Female,22,All ages,1022,Other malignant neoplasms,3,Rate,1996,4.193818467580241,4.454989021353401,3.924447062600747
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,3,Rate,1997,0.42664726895780664,0.45134497640419774,0.39814548437809777
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,1997,11.65503968617444,12.198603849485337,11.048923407699974
1,Deaths,1,Global,2,Female,22,All ages,429,Breast cancer,3,Rate,1997,14.895674733216639,15.444007670323133,14.30260683216368
1,Deaths,1,Global,2,Female,22,All ages,432,Cervical cancer,3,Rate,1997,6.824015307895775,8.250933285562205,6.17808065443603
1,Deaths,1,Global,2,Female,22,All ages,435,Uterine cancer,3,Rate,1997,2.1307549461831394,2.260339497320092,1.9319410404978634
1,Deaths,1,Global,2,Female,22,All ages,441,Colon and rectum cancer,3,Rate,1997,10.188745914533648,10.625400549144402,9.545852685518868
1,Deaths,1,Global,2,Female,22,All ages,444,Lip and oral cavity cancer,3,Rate,1997,1.2445907754927021,1.349957659396654,1.1493580952857814
1,Deaths,1,Global,2,Female,22,All ages,447,Nasopharynx cancer,3,Rate,1997,0.6441846342449636,0.7028303130728011,0.5818761455984935
1,Deaths,1,Global,2,Female,22,All ages,450,Other pharynx cancer,3,Rate,1997,0.505232056740442,0.566751980462911,0.4459215854739601
1,Deaths,1,Global,2,Female,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1997,2.2233740920228606,2.60472271100997,1.9152867667506956
1,Deaths,1,Global,2,Female,22,All ages,456,Pancreatic cancer,3,Rate,1997,3.978548283582118,4.126044516701766,3.733358457051331
1,Deaths,1,Global,2,Female,22,All ages,459,Malignant skin melanoma,3,Rate,1997,0.616502174818937,0.8107397098037487,0.4855746598583924
1,Deaths,1,Global,2,Female,22,All ages,462,Non-melanoma skin cancer,3,Rate,1997,0.3809768036089982,0.40425606320425916,0.347096820954643
1,Deaths,1,Global,2,Female,22,All ages,465,Ovarian cancer,3,Rate,1997,3.8972463549646923,4.291607959663889,3.6597893404374413
1,Deaths,1,Global,2,Female,22,All ages,471,Kidney cancer,3,Rate,1997,1.151239319117648,1.1943852085891726,1.0909954852834505
